Instance,RL_Makespan,OR_Makespan,Gap(%),OR_Time
124,33.90519332885742,7.323,362.9959487758763,1.3992469310760498
125,30.764799118041992,8.402,266.16042749395376,0.7647304534912109
126,43.78129959106445,8.309,426.9141845115472,0.8498368263244629
127,37.34614944458008,8.818,323.5217673461111,0.5552234649658203
128,25.839466094970703,7.598,240.08247032075158,0.4806978702545166
129,35.470516204833984,7.97,345.0503915286573,0.650676965713501
130,30.25282859802246,8.475,256.96552918020603,1.7707059383392334
131,31.626365661621094,8.199,285.73442690109886,0.18450689315795898
132,36.19873809814453,8.113,346.18190679335055,0.5953433513641357
133,35.83407211303711,8.338,329.76819516715176,0.7581462860107422
134,32.725685119628906,8.587,281.10731477383143,0.19380569458007812
135,38.05043411254883,8.486,348.3906918754281,0.8696784973144531
136,28.949607849121094,7.475,287.28572373406143,0.885972261428833
137,32.42375564575195,8.318,289.80230398836204,1.0082073211669922
138,32.91635513305664,7.769,323.68844295349004,0.6054458618164062
139,33.39755630493164,8.393,297.92155730884826,0.30846643447875977
140,32.77635955810547,8.658,278.56733146344965,0.39147400856018066
141,41.98854446411133,8.733,380.8032115437,2.386753797531128
142,32.13557815551758,8.654,271.3378571240765,0.2811582088470459
143,38.61460876464844,8.104,376.4882621501535,0.3296384811401367
144,37.81749725341797,8.649,337.2470488312865,0.4386603832244873
145,31.30807876586914,7.784,302.2106727372706,1.3061091899871826
146,36.645591735839844,8.117,351.4671890580244,0.8490538597106934
147,37.35182571411133,9.267,303.0627572473436,0.2933800220489502
148,36.1557502746582,8.506,325.0617243670139,1.0264818668365479
149,27.674646377563477,7.879,251.24567048563878,1.3346500396728516
150,35.176692962646484,7.894,345.61303474343157,1.0171947479248047
151,37.337310791015625,8.099,361.01136919392053,1.1274113655090332
152,34.919071197509766,7.786,348.4853737157689,0.7399210929870605
153,39.38227081298828,8.678,353.81736359746805,2.3096487522125244
154,36.53877639770508,8.076,352.436557673416,0.7547051906585693
155,39.35131072998047,8.864,343.94529253136807,0.23241901397705078
156,37.187469482421875,8.244,351.0852678605274,1.528773546218872
157,31.251672744750977,7.386,323.12040001016754,0.8867805004119873
158,36.4645881652832,7.661,375.97687201779405,0.7296335697174072
159,40.09424591064453,8.871,351.969855829608,1.4684135913848877
160,34.493621826171875,8.319,314.6366369295813,0.47242188453674316
161,33.41001510620117,7.956,319.9348303946854,1.083953857421875
162,40.10612106323242,9.029,344.1922811300523,1.3844666481018066
163,33.080963134765625,8.363,295.5633520837693,1.3896799087524414
164,36.76683807373047,8.244,345.9829945867354,0.9317271709442139
165,38.29334259033203,8.28,362.47998297502454,0.8497910499572754
166,32.5355110168457,7.593,328.49349422949695,1.1978776454925537
167,33.182701110839844,8.271,301.19333950961,2.9433720111846924
168,29.232698440551758,7.339,298.3199133472102,1.016491413116455
169,32.14480209350586,7.094,353.12661535813163,0.8194069862365723
170,33.58821487426758,7.725,334.7988980487712,0.7996549606323242
171,31.320560455322266,7.974,292.78355223629626,1.0061473846435547
172,34.584537506103516,8.475,308.0771387150857,2.2952513694763184
173,43.1928596496582,8.36,416.6610005939977,0.8671262264251709
174,29.03925323486328,8.053,260.6016793103598,0.9750185012817383
175,32.86410903930664,7.921,314.898485536001,1.3535189628601074
176,35.82523727416992,8.756,309.1507226378474,0.763740062713623
177,28.81155776977539,7.578,280.2000233541223,1.2589056491851807
178,32.85771179199219,7.895,316.18380990490425,1.4097425937652588
179,31.18564796447754,8.215,279.6183562322281,0.6720809936523438
180,35.22627639770508,7.515,368.74619291690055,1.2156739234924316
181,39.58500289916992,8.68,356.04842049734935,0.2043168544769287
182,34.474891662597656,8.732,294.8109443723965,0.9958627223968506
183,32.808799743652344,8.147,302.7101969271185,0.9274189472198486
